Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
VS;6022;Chamoson;1911;Mayens-de-Chamoson;Mayens-de-Chamoson;2014
TI;5238;Monteceneri;6809;Medeglia;Medeglia;2014
GR;3694;Splügen;7436;Medels;Medels im Rheinwald;2014
LU;1063;Meggen;6045;Meggen;Meggen;2014
UR;1220;Wassen;6485;Meien;Meien;2014
LU;1064;Meierskappel;6344;Meierskappel;Meierskappel;2014
BE;307;Meikirch;3045;Meikirch;Meikirch;2014
ZH;156;Meilen;8706;Meilen;Obermeilen;2014
GE;6629;Meinier;1252;Meinier;Meinier;2014
BE;390;Meinisberg;2554;Meinisberg;Meinisberg;2014
AG;4202;Meisterschwanden;5616;Meisterschwanden;Meisterschwanden;2014
TI;5197;Melano;6818;Melano;Melano;2014
OW;1404;Kerns;6068;Melchsee-Frutt;Melchsee-Frutt;2014
OW;1404;Kerns;6067;Melchtal;Melchtal;2014
TI;5198;Melide;6815;Melide;Melide;2014
AG;4314;Mellikon;5465;Mellikon;Mellikon;2014
AG;4033;Mellingen;5507;Mellingen;Mellingen;2014
SG;3293;Mels;8887;Mels;Mels;2014
SO;2620;Meltingen;4233;Meltingen;Meltingen;2014
TI;5254;Mendrisio;6850;Mendrisio;Mendrisio;2014
FR;2027;Ménières;1533;Ménières;Ménières;2014
LU;1136;Menznau;6125;Menzberg;Menzberg;2014
AG;4139;Menziken;5737;Menziken;Menziken;2014
LU;1136;Menznau;6122;Menznau;Menznau;2014
AG;4234;Merenschwand;5634;Merenschwand;Merenschwand;2014
TI;5117;Mergoscia;6647;Mergoscia;Mergoscia;2014
TI;5254;Mendrisio;6866;Meride;Meride;2014
SH;2936;Merishausen;8232;Merishausen;Merishausen;2014
BE;938;Sigriswil;3658;Merligen;Merligen;2014
SZ;1331;Küssnacht (SZ);6402;Merlischachen;Merlischachen;2014
JU;6715;Mervelier;2827;Mervelier;Mervelier;2014
GR;3822;Mesocco;6563;Mesocco;Mesocco;2014
AG;4184;Mettauertal;5274;Mettau;Mettau;2014
JU;6716;Mettembert;2806;Mettembert;Mettembert;2014
TG;4921;Bussnang;9517;Mettlen;Mettlen;2014
ZH;9;Mettmenstetten;8932;Mettmenstetten;Rossau;2014
SO;2477;Metzerlen-Mariastein;4116;Metzerlen;Metzerlen;2014
VD;5489;Mex (VD);1031;Mex VD;Mex;2014
VS;6217;Saint-Maurice;1890;Mex VS;Mex;2014
GE;6630;Meyrin;1217;Meyrin;Meyrin;2014
FR;2087;Mézières (FR);1684;Mézières FR;Mézières;2014
VD;5791;Mézières (VD);1083;Mézières VD;Mézières;2014
TI;5199;Mezzovico-Vira;6805;Mezzovico;Mezzovico;2014
FR;2115;Torny;1749;Middes;Torny-le-Petit;2014
JU;6810;La Baroche;2946;Miécourt;Miécourt;2014
VS;6241;Miège;3972;Miège;Miège;2014
VD;5723;Mies;1295;Mies;Mies;2014
VS;6159;Vouvry;1896;Miex;Tanay;2014
BE;855;Schwarzenburg;3157;Milken;Milken;2014
TI;5118;Minusio;6648;Minusio;Minusio;2014
BE;615;Mirchel;3532;Mirchel;Mirchel;2014
VD;5821;Missy;1565;Missy;Missy;2014
GL;1631;Glarus Süd;8756;Mitlödi;Ennetlinth;2014
BE;355;Köniz;3147;Mittelhäusern;Mittelhäusern;2014
GR;3962;Schiers;7222;Mittellunden;Mittellunden;2014
AG;4254;Möhlin;4313;Möhlin;Möhlin;2014
TI;5012;Moleno;6524;Moleno;Moleno;2014
GR;3921;Arosa;7056;Molinis;Molinis;2014
VD;5431;Mollens (VD);1146;Mollens VD;Mollens;2014
VS;6242;Mollens (VS);3974;Mollens VS;Mollens;2014
VD;5611;Savigny;1073;Mollie-Margot;Mollie-Margot;2014
GL;1630;Glarus Nord;8753;Mollis;Mollis;2014
SG;3295;Quarten;8885;Mols;Mols;2014
GR;3502;Mon;7458;Mon;Mon;2014
ZH;196;Mönchaltorf;8617;Mönchaltorf;Mönchaltorf;2014
VD;5634;Echichens;1125;Monnaz;Monnaz;2014
BE;445;Sonvilier;2615;Montagne-Sonvilier;Montagne-Sonvilier;2014
TI;5236;Collina d'Oro;6926;Montagnola;Montagnola;2014
FR;2029;Montagny (FR);1776;Montagny-la-Ville;Montagny-la-Ville;2014
VD;5922;Montagny-près-Yverdon;1442;Montagny-Yverdon;Montagny-près-Yverdon;2014
JU;6702;Boécourt;2857;Montavon;Montavon;2014
VD;5756;Montcherand;1354;Montcherand;Montcherand;2014
NE;6512;Val-de-Travers;2116;Mont-de-Buttes;Mont-de-Buttes;2014
TI;5113;Locarno;6605;Monte Brè Locarno;Monte Brè sopra Locarno;2014
TI;5013;Monte Carasso;6513;Monte Carasso;Monte Carasso;2014
JU;6808;Clos du Doubs;2884;Montenol;Montenol;2014
FR;2089;Montet (Glâne);1674;Montet (Glâne);Montet (Glâne);2014
NE;6413;Rochefort;2037;Montezillon;Montézillon;2014
JU;6751;Montfaucon;2362;Montfaucon;Montfaucon;2014
AG;4106;Mönthal;5237;Mönthal;Mönthal;2014
VD;5432;Montherod;1174;Montherod;Montherod;2014
VS;6153;Monthey;1870;Monthey;Monthey;2014
JU;6807;Basse-Allaine;2924;Montignez;Montignez;2014
SG;3254;Oberriet (SG);9462;Montlingen;Montlingen;2014
JU;6808;Clos du Doubs;2883;Montmelon;Montmelon;2014
VD;5792;Montpreveyres;1081;Montpreveyres;Montpreveyres;2014
VD;5886;Montreux;1820;Montreux;Montreux;2014
VD;5492;Montricher;1147;Montricher;Montricher;2014
VD;5884;Corsier-sur-Vevey;1808;Monts-de-Corsier;Les Monts-de-Corsier;2014
JU;6730;Val Terbi;2828;Montsevelier;Montsevelier;2014
VD;5587;Le Mont-sur-Lausanne;1052;Mont-sur-Lausanne;Le Mont-sur-Lausanne;2014
VD;5859;Mont-sur-Rolle;1185;Mont-sur-Rolle;Mont-sur-Rolle;2014
BE;437;Mont-Tramelan;2723;Mont-Tramelan;Mont-Tramelan;2014
BE;544;Moosseedorf;3302;Moosseedorf;Moosseedorf;2014
TI;5257;Morbio Inferiore;6834;Morbio Inferiore;Morbio Inferiore;2014
TI;5269;Breggia;6835;Morbio Superiore;Morbio Superiore;2014
TI;5203;Morcote;6922;Morcote;Morcote;2014
VD;5642;Morges;1110;Morges;Morges;2014
VS;6156;Troistorrents;1875;Morgins;Morgins;2014
BE;742;Mörigen;2572;Mörigen;Mörigen;2014
AG;4203;Möriken-Wildegg;5103;Möriken AG;Möriken;2014
GR;3618;Lumnezia;7143;Morissen;Morissen;2014
FR;2143;Morlon;1638;Morlon;Morlon;2014
VD;5527;Morrens (VD);1054;Morrens VD;Morrens;2014
SZ;1366;Morschach;6443;Morschach;Morschach;2014
SG;3214;Mörschwil;9402;Mörschwil;Mörschwil;2014
LU;1030;Hitzkirch;6295;Mosen;Mosen;2014
SG;3394;Mosnang;9607;Mosnang;Mosnang;2014
FR;2281;Haut-Vully;1787;Môtier (Vully);Môtier;2014
NE;6512;Val-de-Travers;2112;Môtiers NE;Môtiers;2014
VD;5678;Moudon;1510;Moudon;Moudon;2014
BE;700;Moutier;2740;Moutier;Moutier;2014
JU;6718;Movelier;2812;Movelier;Movelier;2014
AG;4009;Muhen;5037;Muhen;Muhen;2014
AG;4235;Mühlau;5642;Mühlau;Mühlau;2014
BE;668;Mühleberg;3203;Mühleberg;Mühleberg;2014
GL;1630;Glarus Nord;8874;Mühlehorn;Mühlehorn;2014
AG;4289;Zofingen;4812;Mühlethal;Mühlethal;2014
SG;3394;Mosnang;9613;Mühlrüti;Mühlrüti;2014
GR;3534;Mulegns;7455;Mulegns;Mulegns;2014
TG;4831;Müllheim;8555;Müllheim Dorf;Langenhart;2014
AG;4107;Mülligen;5243;Mülligen;Mülligen;2014
SO;2428;Mümliswil-Ramiswil;4717;Mümliswil;Mümliswil;2014
GR;3982;Disentis/Mustér;7183;Mumpé Medel;Mumpé Medel;2014
AG;4255;Mumpf;4322;Mumpf;Mumpf;2014
BL;2769;Münchenstein;4142;Münchenstein;Neuewelt;2014
BE;669;Münchenwiler;1797;Münchenwiler;Münchenwiler;2014
AG;4172;Münchwilen (AG);4333;Münchwilen AG;Münchwilen;2014
TG;4746;Münchwilen (TG);9542;Münchwilen TG;Münchwilen;2014
BE;616;Münsingen;3110;Münsingen;Münsingen;2014
TG;4691;Münsterlingen;8596;Münsterlingen;Münsterlingen;2014
FR;2274;Muntelier;3286;Muntelier;Muntelier;2014
BE;498;Müntschemier;3225;Müntschemier;Müntschemier;2014
SG;3202;Muolen;9313;Muolen;Muolen;2014
VS;6152;Collombey-Muraz;1893;Muraz (Collombey);Muraz;2014
SG;3295;Quarten;8877;Murg;Murg;2014
AG;4279;Murgenthal;4853;Murgenthal;Murgenthal;2014
AG;4236;Muri (AG);5630;Muri AG;Muri;2014
BE;356;Muri bei Bern;3074;Muri b. Bern;Muri bei Bern;2014
FR;2034;Murist;1489;Murist;Murist;2014
BE;584;Lauterbrunnen;3825;Mürren;Mürren;2014
BE;360;Wohlen bei Bern;3034;Murzelen;Murzelen;2014
GR;3847;Val Müstair;7537;Müstair;Müstair;2014
VD;5563;Mutrux;1428;Mutrux;Mutrux;2014
GR;3503;Mutten;7431;Mutten;Mutten;2014
BL;2770;Muttenz;4132;Muttenz;Muttenz;2014
TI;5205;Muzzano;6933;Muzzano;Muzzano;2014
GL;1630;Glarus Nord;8752;Näfels;Näfels;2014
SG;3378;Neckertal;9123;Nassen;Nassen;2014
ZH;90;Niederhasli;8155;Nassenwil;Nassenwil;2014
VS;6007;Naters;3904;Naters;Naters;2014
VS;6090;Mont-Noble;1973;Nax;Mayens-de-Nax;2014
LU;1137;Nebikon;6244;Nebikon;Nebikon;2014
SG;3375;Oberhelfenschwil;9126;Necker;Necker;2014
ZH;88;Neerach;8173;Neerach;Neerach;2014
ZH;223;Neftenbach;8413;Neftenbach;Neftenbach;2014
TI;5206;Neggio;6991;Neggio;Neggio;2014
BL;2789;Nenzlingen;4224;Nenzlingen;Nenzlingen;2014
ZH;180;Weisslingen;8484;Neschwil;Neschwil;2014
AG;4072;Niederwil (AG);5524;Nesselnbach;Nesselnbach;2014
SG;3360;Nesslau;9650;Nesslau;Nesslau;2014
GL;1632;Glarus;8754;Netstal;Netstal;2014
SG;3360;Nesslau;9652;Neu St. Johann;Neu St. Johann;2014
ZG;1701;Baar;6314;Neuägeri;Neuägeri;2014
NE;6458;Neuchâtel;2000;Neuchâtel;Neuchâtel;2014
LU;1081;Beromünster;6025;Neudorf;Neudorf;2014
SO;2404;Neuendorf;4623;Neuendorf;Neuendorf;2014
BE;670;Neuenegg;3176;Neuenegg;Neuenegg;2014
AG;4034;Neuenhof;5432;Neuenhof;Neuenhof;2014
LU;1093;Neuenkirch;6206;Neuenkirch;Neuenkirch;2014
SG;3342;Eschenbach (SG);8732;Neuhaus SG;Lenzikon;2014
SH;2937;Neuhausen am Rheinfall;8212;Neuhausen;Neuhausen am Rheinfall;2014
ZG;1705;Neuheim;6345;Neuheim;Neuheim;2014
TG;4501;Kradolf-Schönenberg;9217;Neukirch;Neukirch an der Thur;2014
TG;4411;Egnach;9315;Neukirch (Egnach);Neukirch;2014
SH;2904;Neunkirch;8213;Neunkirch;Neunkirch;2014
FR;2211;Neyruz (FR);1740;Neyruz FR;Neyruz;2014
VD;5693;Montanaire;1515;Neyruz-sur-Moudon;Neyruz-sur-Moudon;2014
BE;743;Nidau;2560;Nidau;Nidau;2014
GL;1631;Glarus Süd;8772;Nidfurn;Nidfurn;2014
BE;981;Niederbipp;4704;Niederbipp;Niederbipp;2014
SO;2405;Niederbuchsiten;4626;Niederbuchsiten;Niederbuchsiten;2014
SG;3422;Niederbüren;9246;Niederbüren;Niederbüren;2014
BL;2891;Niederdorf;4435;Niederdorf;Niederdorf;2014
VS;6198;Niedergesteln;3942;Niedergesteln;Niedergesteln;2014
SG;3407;Oberuzwil;9240;Niederglatt SG;Niederglatt;2014
ZH;89;Niederglatt;8172;Niederglatt ZH;Niederglatt;2014
SO;2495;Niedergösgen;5013;Niedergösgen;Niedergösgen;2014
SG;3423;Niederhelfenschwil;9527;Niederhelfenschwil;Niederhelfenschwil;2014
BE;617;Niederhünigen;3504;Niederhünigen;Niederhünigen;2014
AG;4204;Niederlenz;5702;Niederlenz;Niederlenz;2014
BE;877;Niedermuhlern;3087;Niedermuhlern;Niedermuhlern;2014
TG;4601;Neunforn;8525;Niederneunforn;Niederneunforn;2014
BE;982;Niederönz;3362;Niederönz;Niederönz;2014
BE;417;Niederösch;3424;Niederösch;Niederösch;2014
BE;588;Niederried b. Interlaken;3853;Niederried Interl;Niederried bei Interlaken;2014
AG;4035;Niederrohrdorf;5443;Niederrohrdorf;Niederrohrdorf;2014
BE;355;Köniz;3145;Niederscherli;Niederscherli;2014
BE;770;Stocken-Höfen;3632;Niederstocken;Niederstocken;2014
AR;3024;Teufen (AR);9052;Niederteufen;Niederteufen;2014
GL;1630;Glarus Nord;8867;Niederurnen;Niederurnen;2014
SG;3408;Uzwil;9244;Niederuzwil;Niederuzwil;2014
BE;355;Köniz;3172;Niederwangen BE;Niederwangen bei Bern;2014
ZH;91;Niederweningen;8166;Niederweningen;Niederweningen;2014
SG;3424;Oberbüren;9203;Niederwil SG;Niederwil;2014
SO;2554;Riedholz;4523;Niederwil SO;Niederwil;2014
BE;724;Nods;2518;Nods;Chasseral;2014
NE;6512;Val-de-Travers;2103;Noiraigue;Noiraigue;2014
FR;2213;Noréaz;1757;Noréaz;Noréaz;2014
LU;1094;Nottwil;6207;Nottwil;Nottwil;2014
VD;5564;Novalles;1431;Novalles;Novalles;2014
TI;5260;Novazzano;6883;Novazzano;Novazzano;2014
VD;5408;Noville;1845;Noville;Crebelley;2014
GR;3693;Nufenen;7437;Nufenen;Nufenen;2014
SO;2478;Nuglar-St. Pantaleon;4412;Nuglar;Nuglar;2014
SO;2621;Nunningen;4208;Nunningen;Engi;2014
ZH;64;Nürensdorf;8309;Nürensdorf;Oberwil bei Nürensdorf;2014
TG;4821;Hüttwilen;8537;Nussbaumen TG;Nussbaumen;2014
BL;2854;Nusshof;4453;Nusshof;Nusshof;2014
FR;2035;Nuvilly;1485;Nuvilly;Nuvilly;2014
VD;5724;Nyon;1260;Nyon;Nyon;2014
TG;4461;Amriswil;8587;Oberaach;Oberaach;2014
SZ;1362;Arth;6414;Oberarth;Oberarth;2014
BE;357;Oberbalm;3096;Oberbalm;Oberbalm;2014
BE;983;Oberbipp;4538;Oberbipp;Oberbipp;2014
SO;2406;Oberbuchsiten;4625;Oberbuchsiten;Oberbuchsiten;2014
SG;3424;Oberbüren;9245;Oberbüren;Oberbüren;2014
BE;418;Oberburg;3414;Oberburg;Oberburg;2014
BE;880;Rüeggisberg;3088;Oberbütschel;Oberbütschel;2014
NW;1508;Oberdorf (NW);6370;Oberdorf NW;Oberdorf;2014
SO;2553;Oberdorf (SO);4515;Oberdorf SO;Oberdorf;2014
AI;3111;Oberegg;9413;Oberegg;Oberegg;2014
ZH;65;Oberembrach;8425;Oberembrach;Oberembrach;2014
VS;6112;Oberems;3948;Oberems;Oberems;2014
ZH;245;Oberengstringen;8102;Oberengstringen;Oberengstringen;2014
AG;4010;Oberentfelden;5036;Oberentfelden;Oberentfelden;2014
AG;4125;Schinznach;5108;Oberflachs;Oberflachs;2014
BE;902;Langnau im Emmental;3551;Oberfrittenbach;Oberfrittenbach;2014
SO;2528;Obergerlafingen;4564;Obergerlafingen;Obergerlafingen;2014
VS;6076;Obergoms;3988;Obergesteln;Obergesteln;2014
ZH;92;Oberglatt;8154;Oberglatt ZH;Oberglatt;2014
SO;2497;Obergösgen;4653;Obergösgen;Obergösgen;2014
SH;2972;Oberhallau;8216;Oberhallau;Oberhallau;2014
ZH;90;Niederhasli;8156;Oberhasli;Oberhasli;2014
SG;3375;Oberhelfenschwil;9621;Oberhelfenschwil;Oberhelfenschwil;2014
AG;4173;Oberhof;5062;Oberhof;Oberhof;2014
AG;4184;Mettauertal;5273;Oberhofen AG;Oberhofen;2014
BE;934;Oberhofen am Thunersee;3653;Oberhofen Thun'see;Oberhofen am Thunersee;2014
SZ;1368;Oberiberg;8843;Oberiberg;Oberiberg;2014
LU;1095;Oberkirch;6208;Oberkirch LU;Oberkirch;2014
AG;4140;Oberkulm;5727;Oberkulm;Oberkulm;2014
AG;4073;Oberlunkhofen;8917;Oberlunkhofen;Oberlunkhofen;2014
AG;4256;Obermumpf;4324;Obermumpf;Obermumpf;2014
LU;1059;Kriens;6012;Obernau;Obernau;2014
TG;4601;Neunforn;8526;Oberneunforn;Oberneunforn;2014
BE;979;Herzogenbuchsee;3363;Oberönz;Oberönz;2014
NW;1511;Wolfenschiessen;6387;Oberrickenbach;Oberrickenbach;2014
BE;589;Oberried am Brienzersee;3854;Oberried Brienz;Oberried am Brienzersee;2014
ZH;137;Oberrieden;8942;Oberrieden;Oberrieden;2014
SG;3254;Oberriet (SG);9463;Oberriet SG;Hard;2014
AG;4037;Oberrohrdorf;5452;Oberrohrdorf;Oberrohrdorf;2014
AG;4237;Oberrüti;5647;Oberrüti;Oberrüti;2014
GR;3612;Obersaxen;7136;Obers Friggahüs;Tschappina;2014
GR;3612;Obersaxen;7133;Obersaxen Affeier;Egga;2014
GR;3612;Obersaxen;7135;Obersaxen Giraniga;Tusen;2014
GR;3612;Obersaxen;7134;Obersaxen Meierhof;Meierhof;2014
FR;2298;Oberschrot;1716;Oberschrot;Oberschrot;2014
ZH;36;Oberstammheim;8477;Oberstammheim;Oberstammheim;2014
BE;334;Obersteckholz;4924;Obersteckholz;Obersteckholz;2014
SG;3295;Quarten;8884;Oberterzen;Oberterzen;2014
BE;620;Oberthal;3531;Oberthal;Oberthal;2014
GL;1630;Glarus Nord;8868;Oberurnen;Oberurnen;2014
SG;3407;Oberuzwil;9242;Oberuzwil;Oberuzwil;2014
VS;6076;Obergoms;3999;Oberwald;Unterwassern;2014
BE;355;Köniz;3173;Oberwangen b. Bern;Liebewil;2014
ZH;93;Oberweningen;8165;Oberweningen;Oberweningen;2014
BE;391;Oberwil bei Büren;3298;Oberwil b. Büren;Oberwil bei Büren;2014
ZG;1711;Zug;6317;Oberwil b. Zug;Oberwil bei Zug;2014
BL;2771;Oberwil (BL);4104;Oberwil BL;Oberwil;2014
BE;766;Oberwil im Simmental;3765;Oberwil i. S.;Oberwil im Simmental;2014
AG;4074;Oberwil-Lieli;8966;Oberwil-Lieli;Oberwil;2014
ZH;10;Obfelden;8912;Obfelden;Obfelden;2014
GL;1630;Glarus Nord;8758;Obstalden;Obstalden;2014
BE;985;Ochlenberg;3367;Ochlenberg;Ochlenberg;2014
JU;6808;Clos du Doubs;2889;Ocourt;Ocourt;2014
SO;2407;Oensingen;4702;Oensingen;Oensingen;2014
ZH;33;Kleinandelfingen;8461;Oerlingen;Oerlingen;2014
BE;335;Oeschenbach;4943;Oeschenbach;Oeschenbach;2014
AG;4175;Oeschgen;5072;Oeschgen;Oeschgen;2014
BE;794;Zweisimmen;3776;Oeschseite;Oeschseite;2014
ZH;246;Oetwil an der Limmat;8955;Oetwil a.d. Limmat;Oetwil an der Limmat;2014
ZH;157;Oetwil am See;8618;Oetwil am See;Oetwil am See;2014
BE;762;Diemtigen;3753;Oey;Oey;2014
AG;4280;Oftringen;4665;Oftringen;Oftringen;2014
VD;5680;Ogens;1045;Ogens;Ogens;2014
LU;1143;Schötz;6143;Ohmstal;Ohmstal;2014
VD;5409;Ollon;1867;Ollon VD;Auliens;2014
AG;4257;Olsberg;4305;Olsberg;Olsberg;2014
SO;2581;Olten;4600;Olten;Olten;2014
BL;2855;Oltingen;4494;Oltingen;Oltingen;2014
GE;6631;Onex;1213;Onex;Onex;2014
VD;5565;Onnens (VD);1425;Onnens VD;Onnens;2014
VD;5923;Oppens;1047;Oppens;Oppens;2014
VD;5757;Orbe;1350;Orbe;Orbe;2014
VD;5924;Orges;1430;Orges;Orges;2014
VD;5872;Le Chenit;1341;Orient;L'Orient;2014
TI;5208;Origlio;6945;Origlio;Origlio;2014
BL;2856;Ormalingen;4466;Ormalingen;Ormalingen;2014
VD;5493;Orny;1317;Orny;Orny;2014
BE;744;Orpund;2552;Orpund;Orpund;2014
TI;5121;Orselina;6644;Orselina;Orselina;2014
VS;6034;Orsières;1937;Orsières;Orsières;2014
BE;354;Kirchlindach;3042;Ortschwaben;Ortschwaben;2014
VD;5925;Orzens;1413;Orzens;Orzens;2014
BE;988;Seeberg;3476;Oschwand;Oschwand;2014
TI;5286;Osogna;6703;Osogna;Osogna;2014
ZH;37;Ossingen;8475;Ossingen;Ossingen;2014
SH;2974;Wilchingen;8218;Osterfingen;Osterfingen;2014
BE;363;Ostermundigen;3072;Ostermundigen;Ostermundigen;2014
ZH;94;Otelfingen;8112;Otelfingen;Otelfingen;2014
AG;4205;Othmarsingen;5504;Othmarsingen;Othmarsingen;2014
ZH;11;Ottenbach;8913;Ottenbach;Ottenbach;2014
ZH;115;Gossau (ZH);8626;Ottikon;Ottikon;2014
TG;4941;Märstetten;8561;Ottoberg;Ottoberg;2014
VD;5529;Oulens-sous-Echallens;1377;Oulens-Echallens;Oulens-sous-Echallens;2014
GR;3921;Arosa;7028;Pagig;Pagig;2014
VD;5530;Pailly;1416;Pailly;Pailly;2014
TI;5397;Centovalli;6657;Palagnedra;Palagnedra;2014
TI;5192;Lugano;6915;Pambio-Noranco;Pambio;2014
VD;5494;Pampigny;1142;Pampigny;Pampigny;2014
GR;3891;Luzein;7243;Pany;Pany;2014
FR;2145;Le Pâquier (FR);1661;Pâquier-Montbarry;Le Pâquier;2014
GR;3911;Churwalden;7076;Parpan;Parpan;2014
GR;3536;Riom-Parsonz;7464;Parsonz;Parsonz;2014
GR;3634;Paspels;7417;Paspels;Paspels;2014
GR;3911;Churwalden;7062;Passugg-Araschgen;Passugg-Araschgen;2014
VD;5588;Paudex;1094;Paudex;Paudex;2014
VD;5822;Payerne;1530;Payerne;Payerne;2014
TI;5192;Lugano;6912;Pazzallo;Pazzallo;2014
TI;5323;Lavizzara;6695;Peccia;Peccia;2014
TI;5250;Chiasso;6832;Pedrinate;Pedrinate;2014
GR;3618;Lumnezia;7110;Peiden;Peiden;2014
GR;3921;Arosa;7029;Peist;Peist;2014
VD;5804;Jorat-Menthue;1059;Peney-le-Jorat;Peney-le-Jorat;2014
VD;5495;Penthalaz;1305;Penthalaz;Cossonay-Gare;2014
VD;5496;Penthaz;1303;Penthaz;Penthaz;2014
VD;5531;Penthéréaz;1375;Penthéréaz;Penthéréaz;2014
LU;1052;Buchrain;6035;Perlen;Perlen;2014
GE;6632;Perly-Certoux;1258;Perly;Perly;2014
BE;701;Perrefitte;2742;Perrefitte;Perrefitte;2014
VD;5860;Perroy;1166;Perroy;Perroy;2014
TI;5076;Personico;6744;Personico;Personico;2014
BE;439;Péry;2603;Péry;Péry;2014
NE;6412;Peseux;2034;Peseux;Peseux;2014
NE;6437;Les Ponts-de-Martel;2316;Petit-Martel;Petit-Martel;2014
SG;3294;Pfäfers;7312;Pfäfers;Pfäfers;2014
ZH;193;Fällanden;8118;Pfaffhausen;Pfaffhausen;2014
SZ;1322;Freienbach;8808;Pfäffikon SZ;Pfäffikon;2014
LU;1139;Pfaffnau;6264;Pfaffnau;Sagen;2014
LU;1097;Rickenbach (LU);5735;Pfeffikon LU;Pfeffikon;2014
BL;2772;Pfeffingen;4148;Pfeffingen;Pfeffingen;2014
ZH;224;Pfungen;8422;Pfungen;Pfungen;2014
TI;5014;Pianezzo;6582;Pianezzo;Pianezzo;2014
TI;5398;Gambarogno;6579;Piazzogna;Piazzogna;2014
BE;392;Pieterlen;2542;Pieterlen;Pieterlen;2014
GR;3701;Andeer;7443;Pignia;Pignia;2014
GR;3619;Ilanz/Glion;7156;Pigniu;Pigniu;2014
TI;5079;Quinto;6776;Piotta;Piora;2014
GR;3619;Ilanz/Glion;7111;Pitasch;Pitasch;2014
BE;449;Sauge;2536;Plagne;Plagne;2014
GE;6633;Plan-les-Ouates;1228;Plan-les-Ouates;Plan-les-Ouates;2014
FR;2300;Plasselb;1737;Plasselb;Plasselb;2014
GR;3983;Medel (Lucmagn);7185;Platta;Platta;2014
GR;3789;Sils im Engadin/Segl;7517;Plaun da Lej;Plaun da Lej;2014
SG;3293;Mels;8889;Plons;Plons;2014
TI;5077;Pollegio;6742;Pollegio;Pollegio;2014
VD;5497;Pompaples;1318;Pompaples;Pompaples;2014
VD;5926;Pomy;1405;Pomy;Pomy;2014
VS;6266;Sion;1962;Pont-de-la-Morge;Pont-de-la-Morge;2014
TI;5212;Ponte Capriasca;6946;Ponte Capriasca;Ponte Capriasca;2014
TI;5202;Monteggio;6996;Ponte Cremenaga;Ponte Cremenaga;2014
TI;5213;Ponte Tresa;6988;Ponte Tresa;Ponte Tresa;2014
BE;702;Pontenet;2733;Pontenet;Pontenet;2014
FR;2147;Pont-la-Ville;1649;Pont-la-Ville;Pont-la-Ville;2014
GR;3784;Pontresina;7504;Pontresina;Pontresina;2014
JU;6800;Porrentruy;2900;Porrentruy;Porrentruy;2014
BE;745;Port;2562;Port;Port;2014
FR;2051;Delley-Portalban;1568;Portalban;Portalban;2014
GR;3661;Cazis;7423;Portein;Portein;2014
TI;5125;Ronco sopra Ascona;6613;Porto Ronco;Porto Ronco;2014
TI;5214;Porza;6948;Porza;Porza;2014
FR;2233;Hauterive (FR);1725;Posieux;Posieux;2014
GR;3932;Tschiertschen-Praden;7063;Praden;Praden;2014
GR;3863;Jenaz;7231;Pragg-Jenaz;Pragg-Jenaz;2014
VD;5913;Donneloye;1408;Prahins;Prahins;2014
VD;5725;Prangins;1197;Prangins;Prangins;2014
FR;2044;Surpierre;1528;Praratoud;Praratoud;2014
TI;5078;Prato (Leventina);6773;Prato (Leventina);Prato (Leventina);2014
TI;5323;Lavizzara;6694;Prato-Sornico;Prato;2014
BL;2831;Pratteln;4133;Pratteln;Schweizerhalle;2014
GR;3635;Pratval;7415;Pratval;Pratval;2014
FR;2280;Bas-Vully;1788;Praz (Vully);Praz;2014
VS;6034;Orsières;1943;Praz-de-Fort;Les Arlaches;2014
BE;726;Plateau de Diesse;2515;Prêles;Prêles;2014
VD;5759;Premier;1324;Premier;Premier;2014
TI;5015;Preonzo;6523;Preonzo;Preonzo;2014
GE;6635;Presinge;1243;Presinge;Presinge;2014
VD;5643;Préverenges;1028;Préverenges;Préverenges;2014
FR;2221;Prez-vers-Noréaz;1746;Prez-vers-Noréaz;Prez-vers-Noréaz;2014
FR;2099;Siviriez;1677;Prez-vers-Siviriez;Prez-vers-Siviriez;2014
GR;3792;Bregaglia;7606;Promontogno;Promontogno;2014
TI;5285;Lodrino;6526;Prosito;Prosito;2014
TI;5144;Arogno;6823;Pugerna;Pugerna;2014
VD;5607;Puidoux;1070;Puidoux;Puidoux;2014
VD;5590;Pully;1009;Pully;Pully;2014
GE;6636;Puplinge;1241;Puplinge;Puplinge;2014
TI;5216;Pura;6984;Pura;Pura;2014
TI;5178;Croglio;6989;Purasca;Purasca;2014
GR;3962;Schiers;7228;Pusserein;Pusserein;2014
GR;3891;Luzein;7224;Putz;Putz;2014
SG;3295;Quarten;8883;Quarten;Quarten;2014
TI;5398;Gambarogno;6572;Quartino;Quartino;2014
SG;3295;Quarten;8878;Quinten;Quinten;2014
TI;5079;Quinto;6777;Quinto;Quinto;2014
GR;3985;Sumvitg;7172;Rabius;Rabius;2014
BE;309;Radelfingen;3271;Radelfingen;Radelfingen bei Aarberg;2014
ZH;67;Rafz;8197;Rafz;Rafz;2014
LU;1037;Rain;6026;Rain;Rain;2014
OW;1407;Sarnen;6060;Ramersberg;Ramersberg;2014
ZH;231;Zell (ZH);8487;Rämismühle;Rämismühle;2014
