Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
VD;5613;Bourg-en-Lavaux;1096;Cully;Cully;2014
GR;3618;Lumnezia;7142;Cumbel;Cumbel;2014
GR;3985;Sumvitg;7176;Cumpadials;Cumpadials;2014
GR;3532;Cunter;7452;Cunter;Cunter;2014
GR;3983;Medel (Lucmagn);7184;Curaglia;Curaglia;2014
TI;5192;Lugano;6963;Cureggia;Cureggia;2014
TI;5180;Cureglia;6944;Cureglia;Cureglia;2014
TI;5181;Curio;6986;Curio;Curio;2014
VD;5669;Curtilles;1521;Curtilles;Curtilles;2014
ZH;25;Dachsen;8447;Dachsen;Dachsen;2014
LU;1125;Dagmersellen;6252;Dagmersellen;Dagmersellen;2014
VD;5480;Daillens;1306;Daillens;Daillens;2014
LU;1151;Willisau;6126;Daiwil;Daiwil;2014
GR;3661;Cazis;7424;Dalin;Dalin;2014
NW;1503;Dallenwil;6383;Dallenwil;Dallenwil;2014
ZH;84;Dällikon;8108;Dällikon;Dällikon;2014
TI;5071;Dalpe;6774;Dalpe;Dalpe;2014
JU;6787;Damphreux;2933;Damphreux;Damphreux;2014
JU;6809;Haute-Ajoie;2914;Damvant;Damvant;2014
TI;5049;Blenio;6717;Dangio-Torre;Dangio;2014
SO;2572;Däniken;4658;Däniken SO;Däniken;2014
ZH;85;Dänikon;8114;Dänikon ZH;Dänikon;2014
GR;3981;Breil/Brigels;7163;Danis;Danis;2014
GE;6620;Dardagny;1283;Dardagny;Dardagny;2014
GR;3981;Breil/Brigels;7164;Dardin;Dardin;2014
BE;575;Därligen;3707;Därligen;Därligen;2014
BE;761;Därstetten;3763;Därstetten;Därstetten;2014
ZH;215;Dättlikon;8421;Dättlikon;Dättlikon;2014
AG;4021;Baden;5405;Dättwil AG;Dättwil;2014
TI;5192;Lugano;6964;Davesco-Soragno;Davesco;2014
GR;3851;Davos;7272;Davos Clavadel;Sertig Dörfli;2014
GR;3851;Davos;7260;Davos Dorf;Davos Dorf;2014
GR;3851;Davos;7276;Davos Frauenkirch;Frauenkirch;2014
GR;3851;Davos;7277;Davos Glaris;Glaris;2014
GR;3851;Davos;7278;Davos Monstein;Monstein;2014
GR;3851;Davos;7270;Davos Platz;Davos Platz;2014
GR;3851;Davos;7494;Davos Wiesen;Wiesen;2014
GR;3851;Davos;7265;Davos Wolfgang;Laret;2014
GR;3618;Lumnezia;7145;Degen;Degen;2014
SG;3401;Degersheim;9113;Degersheim;Degersheim;2014
BE;535;Deisswil b. Münchenbuch.;3053;Deisswil Mbuchsee;Deisswil bei Münchenbuchsee;2014
SO;2516;Deitingen;4543;Deitingen;Deitingen;2014
JU;6711;Delémont;2800;Delémont;Delémont;2014
FR;2051;Delley-Portalban;1567;Delley;Delley;2014
VD;5912;Démoret;1415;Démoret;Démoret;2014
VD;5631;Denens;1135;Denens;Denens;2014
VD;5632;Denges;1026;Denges;Denges;2014
AG;4004;Densbüren;5026;Densbüren;Densbüren;2014
SO;2517;Derendingen;4552;Derendingen;Derendingen;2014
BE;309;Radelfingen;3036;Detligen;Detligen;2014
TG;4841;Pfyn;8505;Dettighofen;Dettighofen;2014
TG;4683;Lengwil;8574;Dettighofen Lengw.;Dettighofen;2014
JU;6712;Develier;2802;Develier;Develier;2014
SG;3378;Neckertal;9115;Dicken;Dicken bei Degersheim;2014
BL;2884;Diegten;4457;Diegten;Diegten;2014
ZH;86;Dielsdorf;8157;Dielsdorf;Dielsdorf;2014
BE;762;Diemtigen;3754;Diemtigen;Diemtigen;2014
BL;2845;Diepflingen;4442;Diepflingen;Diepflingen;2014
SG;3234;Diepoldsau;9444;Diepoldsau;Diepoldsau;2014
LU;1053;Dierikon;6036;Dierikon;Dierikon;2014
BE;385;Diessbach bei Büren;3264;Diessbach b. Büren;Diessbach bei Büren;2014
BE;726;Plateau de Diesse;2517;Diesse;Diesse;2014
TG;4545;Diessenhofen;8253;Diessenhofen;Diessenhofen;2014
SG;3395;Bütschwil-Ganterschwil;9615;Dietfurt;Dietfurt;2014
ZH;243;Dietikon;8953;Dietikon;Dietikon;2014
ZH;54;Dietlikon;8305;Dietlikon;Dietlikon;2014
SG;3392;Kirchberg (SG);9533;Dietschwil;Dietschwil;2014
AG;4231;Dietwil;6042;Dietwil;Dietwil;2014
ZH;216;Dinhard;8474;Dinhard;Dinhard;2014
TI;5192;Lugano;6967;Dino;Dino;2014
AG;4194;Dintikon;5606;Dintikon;Dintikon;2014
GR;3982;Disentis/Mustér;7180;Disentis/Mustér;Disentis/Mustér;2014
BL;2784;Dittingen;4243;Dittingen;Dittingen;2014
GR;3722;Domat/Ems;7013;Domat/Ems;Domat/Ems;2014
NE;6487;Val-de-Ruz;2056;Dombresson;Dombresson;2014
